Geography,Age group,Population
,35 to 39 years,"125,442"
,40 to 44 years,"112,301"
,45 to 49 years,"103,907"
,50 to 54 years,"99,908"
,55 to 59 years,"95,437"
,60 to 64 years,"76,496"
,65 to 69 years,"56,877"
,70 to 74 years,"36,583"
,75 to 79 years,"25,356"
,80 to 84 years,"18,870"
,85 to 89 years,"12,628"
,90 years and over,"7,009"
"Edmonton, Alberta",All ages,"1,386,788"
,0 to 4 years,"87,384"
,5 to 9 years,"82,959"
,10 to 14 years,"72,646"
,15 to 19 years,"75,635"
,20 to 24 years,"97,596"
,25 to 29 years,"123,727"
,30 to 34 years,"128,032"
,35 to 39 years,"110,308"
,40 to 44 years,"94,348"
,45 to 49 years,"88,758"
,50 to 54 years,"93,182"
,55 to 59 years,"90,784"
,60 to 64 years,"75,662"
,65 to 69 years,"57,980"
,70 to 74 years,"38,239"
,75 to 79 years,"27,643"
,80 to 84 years,"20,461"
,85 to 89 years,"13,619"
,90 years and over,"7,825"
"Kelowna, British Columbia",All ages,"199,494"
,0 to 4 years,"8,790"
,5 to 9 years,"9,236"
,10 to 14 years,"9,178"
,15 to 19 years,"10,508"
,20 to 24 years,"12,643"
,25 to 29 years,"14,126"
,30 to 34 years,"13,434"
,35 to 39 years,"11,677"
,40 to 44 years,"11,236"
,45 to 49 years,"12,740"
,50 to 54 years,"14,903"
,55 to 59 years,"15,400"
,60 to 64 years,"13,775"
,65 to 69 years,"12,624"
,70 to 74 years,"9,559"
,75 to 79 years,"7,638"
,80 to 84 years,"5,805"
,85 to 89 years,"3,922"
,90 years and over,"2,300"
"Abbotsford-Mission, British Columbia",All ages,"188,419"
,0 to 4 years,"10,767"
,5 to 9 years,"11,577"
,10 to 14 years,"11,378"
,15 to 19 years,"12,513"
,20 to 24 years,"13,065"
,25 to 29 years,"12,488"
,30 to 34 years,"13,139"
,35 to 39 years,"12,725"
,40 to 44 years,"12,035"
,45 to 49 years,"12,825"
,50 to 54 years,"13,105"
,55 to 59 years,"12,591"
,60 to 64 years,"10,678"
,65 to 69 years,"9,397"
,70 to 74 years,"6,948"
,75 to 79 years,"5,001"
,80 to 84 years,"3,777"
,85 to 89 years,"2,628"
,90 years and over,"1,782"
"Vancouver, British Columbia",All ages,"2,542,278"
,0 to 4 years,"120,439"
,5 to 9 years,"122,073"
,10 to 14 years,"121,458"
,15 to 19 years,"150,150"
,20 to 24 years,"190,494"
,25 to 29 years,"187,746"
,30 to 34 years,"195,134"
,35 to 39 years,"183,536"
,40 to 44 years,"176,918"
,45 to 49 years,"186,798"
,50 to 54 years,"187,753"
,55 to 59 years,"176,656"
,60 to 64 years,"152,461"
,65 to 69 years,"131,160"
