Geo Code,Geo Name,Line Number
462065206,652.06,13092
462065207,652.07,13103
462065208,652.08,13114
462065209,652.09,13125
462065300,653,13136
462065400,654,13147
462065501,655.01,13158
462065502,655.02,13169
462065601,656.01,13180
462065603,656.03,13191
462065604,656.04,13202
462065701,657.01,13213
462065702,657.02,13224
462065703,657.03,13235
462065801,658.01,13246
462065802,658.02,13257
462065803,658.03,13268
462065904,659.04,13279
462065905,659.05,13290
462065906,659.06,13301
462065908,659.08,13312
462065909,659.09,13323
462065910,659.1,13334
462065911,659.11,13345
462066001,660.01,13356
462066002,660.02,13367
462066003,660.03,13378
462066101,661.01,13389
462066103,661.03,13400
462066104,661.04,13411
462066200,662,13422
462067500,675,13433
462067601,676.01,13444
462067602,676.02,13455
462067603,676.03,13466
462067604,676.04,13477
462067701,677.01,13488
462067702,677.02,13499
462067705,677.05,13510
462067706,677.06,13521
462067707,677.07,13532
462067708,677.08,13543
462067709,677.09,13554
462067710,677.1,13565
462068100,681,13576
462068202,682.02,13587
462068203,682.03,13598
462068204,682.04,13609
462068205,682.05,13620
462068206,682.06,13631
462068300,683,13642
462068403,684.03,13653
462068405,684.05,13664
462068408,684.08,13675
462068409,684.09,13686
462068410,684.1,13697
462068411,684.11,13708
462068502,685.02,13719
462068503,685.03,13730
462068504,685.04,13741
462068505,685.05,13752
462068507,685.07,13763
462068508,685.08,13774
462068601,686.01,13785
462068602,686.02,13796
462068603,686.03,13807
462068701,687.01,13818
462068703,687.03,13829
462068704,687.04,13840
462068706,687.06,13851
462068707,687.07,13862
462068709,687.09,13873
462068710,687.1,13884
462068802,688.02,13895
462068803,688.03,13906
462068804,688.04,13917
462068901,689.01,13928
462068902,689.02,13939
462068903,689.03,13950
462068904,689.04,13961
462069000,690,13972
462069100,691,13983
462069200,692,13994
462069300,693,14005
462069400,694,14016
462070001,700.01,14027
462070003,700.03,14038
462070004,700.04,14049
462070101,701.01,14060
462070102,701.02,14071
462070201,702.01,14082
462070202,702.02,14093
462070302,703.02,14104
462070303,703.03,14115
462070304,703.04,14126
462070401,704.01,14137
462070404,704.04,14148
462070405,704.05,14159
462070406,704.06,14170
462070408,704.08,14181
462070409,704.09,14192
462070501,705.01,14203
462070502,705.02,14214
462070600,706,14225
462070700,707,14236
462070801,708.01,14247
462070802,708.02,14258
462070901,709.01,14269
462070902,709.02,14280
462071003,710.03,14291
462071005,710.05,14302
462071006,710.06,14313
462071007,710.07,14324
462071008,710.08,14335
462071009,710.09,14346
462071010,710.1,14357
462071011,710.11,14368
462072503,725.03,14379
462072504,725.04,14390
462072506,725.06,14401
462072507,725.07,14412
462072509,725.09,14423
462072510,725.1,14434
462072601,726.01,14445
462072603,726.03,14456
462072604,726.04,14467
462072701,727.01,14478
462072702,727.02,14489
462072801,728.01,14500
462072802,728.02,14511
462072803,728.03,14522
462072900,729,14533
462073001,730.01,14544
462073002,730.02,14555
462073100,731,14566
462073201,732.01,14577
462073204,732.04,14588
462073301,733.01,14599
462073302,733.02,14610
462073403,734.03,14621
462073404,734.04,14632
462073405,734.05,14643
462073406,734.06,14654
462073407,734.07,14665
462073501,735.01,14676
462073502,735.02,14687
462074001,740.01,14698
462074003,740.03,14709
462074004,740.04,14720
462075001,750.01,14731
462075002,750.02,14742
462075004,750.04,14753
462075006,750.06,14764
462075007,750.07,14775
462075101,751.01,14786
462075102,751.02,14797
462075501,755.01,14808
462075502,755.02,14819
462075602,756.02,14830
462075603,756.03,14841
462075604,756.04,14852
462075605,756.05,14863
462075700,757,14874
462075803,758.03,14885
462075804,758.04,14896
462075805,758.05,14907
462075806,758.06,14918
462076000,760,14929
462077500,775,14940
462077600,776,14951
462077701,777.01,14962
462077702,777.02,14973
462078000,780,14984
462078100,781,14995
462078200,782,15006
462078300,783,15017
462078400,784,15028
462078500,785,15039
462078600,786,15050
462078700,787,15061
462078800,788,15072
462078900,789,15083
462079000,790,15094
462079100,791,15105
462079200,792,15116
462080001,800.01,15127
462080002,800.02,15138
462080100,801,15149
462080200,802,15160
462080401,804.01,15171
462080402,804.02,15182
462080500,805,15193
462080601,806.01,15204
462080602,806.02,15215
462080701,807.01,15226
462080702,807.02,15237
462082502,825.02,15248
462082503,825.03,15259
462082504,825.04,15270
462082505,825.05,15281
462082506,825.06,15292
462082507,825.07,15303
462082508,825.08,15314
462082602,826.02,15325
462082605,826.05,15336
462082606,826.06,15347
462082607,826.07,15358
462082608,826.08,15369
462082609,826.09,15380
462082610,826.1,15391
462082611,826.11,15402
462082613,826.13,15413
