Geography,Age group,2010
"Qu??bec, Quebec",50 to 54 years,174.0
"Qu??bec, Quebec",55 to 59 years,253.0
"Qu??bec, Quebec",60 to 64 years,358.0
"Qu??bec, Quebec",65 to 69 years,438.0
"Qu??bec, Quebec",70 to 74 years,516.0
"Qu??bec, Quebec",75 to 79 years,718.0
"Qu??bec, Quebec",80 to 84 years,940.0
"Qu??bec, Quebec",85 to 89 years,898.0
"Qu??bec, Quebec",90 years and over,905.0
"Qu??bec, Quebec",All ages,5520.0
"Regina, Saskatchewan",0 to 4 years,16.0
"Regina, Saskatchewan",10 to 14 years,2.0
"Regina, Saskatchewan",15 to 19 years,11.0
"Regina, Saskatchewan",20 to 24 years,13.0
"Regina, Saskatchewan",25 to 29 years,8.0
"Regina, Saskatchewan",30 to 34 years,17.0
"Regina, Saskatchewan",35 to 39 years,18.0
"Regina, Saskatchewan",40 to 44 years,24.0
"Regina, Saskatchewan",45 to 49 years,54.0
"Regina, Saskatchewan",5 to 9 years,1.0
"Regina, Saskatchewan",50 to 54 years,59.0
"Regina, Saskatchewan",55 to 59 years,80.0
"Regina, Saskatchewan",60 to 64 years,100.0
"Regina, Saskatchewan",65 to 69 years,94.0
"Regina, Saskatchewan",70 to 74 years,143.0
"Regina, Saskatchewan",75 to 79 years,210.0
"Regina, Saskatchewan",80 to 84 years,259.0
"Regina, Saskatchewan",85 to 89 years,272.0
"Regina, Saskatchewan",90 years and over,311.0
"Regina, Saskatchewan",All ages,1692.0
"Saguenay, Quebec",0 to 4 years,21.0
"Saguenay, Quebec",10 to 14 years,1.0
"Saguenay, Quebec",15 to 19 years,6.0
"Saguenay, Quebec",20 to 24 years,4.0
"Saguenay, Quebec",25 to 29 years,5.0
"Saguenay, Quebec",30 to 34 years,7.0
"Saguenay, Quebec",35 to 39 years,7.0
"Saguenay, Quebec",40 to 44 years,7.0
"Saguenay, Quebec",45 to 49 years,26.0
"Saguenay, Quebec",5 to 9 years,0.0
"Saguenay, Quebec",50 to 54 years,38.0
"Saguenay, Quebec",55 to 59 years,52.0
"Saguenay, Quebec",60 to 64 years,99.0
"Saguenay, Quebec",65 to 69 years,117.0
"Saguenay, Quebec",70 to 74 years,141.0
"Saguenay, Quebec",75 to 79 years,157.0
"Saguenay, Quebec",80 to 84 years,215.0
"Saguenay, Quebec",85 to 89 years,180.0
"Saguenay, Quebec",90 years and over,155.0
"Saguenay, Quebec",All ages,1238.0
"Saint John, New Brunswick",0 to 4 years,4.0
"Saint John, New Brunswick",10 to 14 years,2.0
"Saint John, New Brunswick",15 to 19 years,2.0
"Saint John, New Brunswick",20 to 24 years,5.0
"Saint John, New Brunswick",25 to 29 years,6.0
"Saint John, New Brunswick",30 to 34 years,4.0
"Saint John, New Brunswick",35 to 39 years,10.0
"Saint John, New Brunswick",40 to 44 years,13.0
"Saint John, New Brunswick",45 to 49 years,24.0
"Saint John, New Brunswick",5 to 9 years,0.0
"Saint John, New Brunswick",50 to 54 years,41.0
"Saint John, New Brunswick",55 to 59 years,46.0
"Saint John, New Brunswick",60 to 64 years,77.0
"Saint John, New Brunswick",65 to 69 years,93.0
"Saint John, New Brunswick",70 to 74 years,113.0
"Saint John, New Brunswick",75 to 79 years,114.0
"Saint John, New Brunswick",80 to 84 years,176.0
"Saint John, New Brunswick",85 to 89 years,187.0
"Saint John, New Brunswick",90 years and over,187.0
"Saint John, New Brunswick",All ages,1104.0
"Saskatoon, Saskatchewan",0 to 4 years,32.0
"Saskatoon, Saskatchewan",10 to 14 years,3.0
"Saskatoon, Saskatchewan",15 to 19 years,3.0
"Saskatoon, Saskatchewan",20 to 24 years,21.0
"Saskatoon, Saskatchewan",25 to 29 years,22.0
"Saskatoon, Saskatchewan",30 to 34 years,21.0
"Saskatoon, Saskatchewan",35 to 39 years,27.0
"Saskatoon, Saskatchewan",40 to 44 years,29.0
"Saskatoon, Saskatchewan",45 to 49 years,47.0
"Saskatoon, Saskatchewan",5 to 9 years,1.0
"Saskatoon, Saskatchewan",50 to 54 years,63.0
"Saskatoon, Saskatchewan",55 to 59 years,88.0
"Saskatoon, Saskatchewan",60 to 64 years,98.0
"Saskatoon, Saskatchewan",65 to 69 years,113.0
"Saskatoon, Saskatchewan",70 to 74 years,148.0
"Saskatoon, Saskatchewan",75 to 79 years,193.0
"Saskatoon, Saskatchewan",80 to 84 years,281.0
"Saskatoon, Saskatchewan",85 to 89 years,296.0
"Saskatoon, Saskatchewan",90 years and over,351.0
"Saskatoon, Saskatchewan",All ages,1837.0
"Sherbrooke, Quebec",0 to 4 years,5.0
"Sherbrooke, Quebec",10 to 14 years,0.0
"Sherbrooke, Quebec",15 to 19 years,5.0
"Sherbrooke, Quebec",20 to 24 years,3.0
"Sherbrooke, Quebec",25 to 29 years,11.0
"Sherbrooke, Quebec",30 to 34 years,9.0
"Sherbrooke, Quebec",35 to 39 years,9.0
"Sherbrooke, Quebec",40 to 44 years,13.0
"Sherbrooke, Quebec",45 to 49 years,25.0
"Sherbrooke, Quebec",5 to 9 years,1.0
"Sherbrooke, Quebec",50 to 54 years,41.0
"Sherbrooke, Quebec",55 to 59 years,59.0
"Sherbrooke, Quebec",60 to 64 years,100.0
"Sherbrooke, Quebec",65 to 69 years,123.0
"Sherbrooke, Quebec",70 to 74 years,125.0
"Sherbrooke, Quebec",75 to 79 years,202.0
"Sherbrooke, Quebec",80 to 84 years,255.0
