Geography,Age group,2010,2011,2012,2013,2014,2015,2016
,65 to 69 years,83,97,90,111,118,124,130
,70 to 74 years,138,130,103,109,111,116,123
,75 to 79 years,161,148,136,124,131,133,136
,80 to 84 years,195,214,199,185,185,189,193
,85 to 89 years,211,197,225,209,215,223,231
,90 years and over,184,173,199,207,224,241,254
"Winnipeg, Manitoba",All ages,"5,993","5,885","6,065","6,005","6,115","6,231","6,350"
,-1 year 7,52,31,31,35,35,36,36
,0 to 4 years,12,12,6,16,14,17,17
,5 to 9 years,3,5,8,11,8,9,11
,10 to 14 years,2,4,4,5,5,6,5
,15 to 19 years,31,21,31,23,23,23,24
,20 to 24 years,39,36,44,54,55,55,55
,25 to 29 years,24,45,30,37,37,37,38
,30 to 34 years,31,51,38,51,51,53,54
,35 to 39 years,57,54,45,51,52,52,55
,40 to 44 years,79,97,70,83,83,84,84
,45 to 49 years,139,128,119,114,111,107,107
,50 to 54 years,199,214,194,187,189,190,185
,55 to 59 years,278,274,311,297,303,310,316
,60 to 64 years,367,387,388,382,395,404,414
,65 to 69 years,404,401,474,459,482,507,526
,70 to 74 years,483,484,496,514,536,557,582
,75 to 79 years,702,636,621,628,639,647,665
,80 to 84 years,915,872,929,856,849,842,845
,85 to 89 years,"1,107","1,048","1,037","1,003","1,009","1,014","1,016"
,90 years and over,"1,069","1,085","1,189","1,199","1,239","1,281","1,315"
"Regina, Saskatchewan",All ages,"1,692","1,651","1,743","1,738","1,754","1,780","1,801"
,-1 year 7,10,19,13,17,17,17,17
,0 to 4 years,6,7,4,5,5,5,5
,5 to 9 years,1,3,4,2,2,2,2
,10 to 14 years,2,3,1,3,2,3,2
,15 to 19 years,11,4,5,3,3,3,3
,20 to 24 years,13,7,9,8,6,7,7
,25 to 29 years,8,25,16,17,17,17,17
,30 to 34 years,17,12,19,16,18,18,18
,35 to 39 years,18,22,24,17,18,18,18
,40 to 44 years,24,23,23,19,19,20,21
,45 to 49 years,54,48,47,37,37,36,36
,50 to 54 years,59,71,51,57,55,55,54
,55 to 59 years,80,89,83,95,93,96,97
,60 to 64 years,100,100,89,100,104,109,112
,65 to 69 years,94,107,117,137,143,150,157
,70 to 74 years,143,128,137,136,141,145,149
,75 to 79 years,210,180,172,175,177,178,179
,80 to 84 years,259,226,279,265,265,263,262
,85 to 89 years,272,282,305,302,302,300,304
,90 years and over,311,295,345,327,330,338,341
"Saskatoon, Saskatchewan",All ages,"1,837","1,757","1,846","1,981","2,006","2,028","2,057"
,-1 year 7,26,20,17,21,21,23,23
,0 to 4 years,6,3,6,8,8,8,8
,5 to 9 years,1,1,1,3,3,3,3
,10 to 14 years,3,3,0,3,3,4,3
,15 to 19 years,3,8,6,6,6,6,6
,20 to 24 years,21,15,8,16,17,16,16
,25 to 29 years,22,21,13,17,17,17,17
,30 to 34 years,21,12,17,15,16,16,17
,35 to 39 years,27,19,20,23,24,26,26
,40 to 44 years,29,26,30,31,31,31,31
,45 to 49 years,47,42,38,42,41,41,42
