Geography,Age group,2010,2011,2012,2013,2014,2015,2016
"Kitchener-Cambridge-Waterloo, Ontario",25 to 29 years,12.0,15.0,23.0,19.0,19.0,19.0,19.0
"Kitchener-Cambridge-Waterloo, Ontario",30 to 34 years,21.0,27.0,18.0,23.0,25.0,25.0,25.0
"Kitchener-Cambridge-Waterloo, Ontario",35 to 39 years,22.0,35.0,20.0,18.0,19.0,19.0,21.0
"Kitchener-Cambridge-Waterloo, Ontario",40 to 44 years,32.0,44.0,39.0,41.0,42.0,43.0,41.0
"Kitchener-Cambridge-Waterloo, Ontario",45 to 49 years,69.0,71.0,64.0,76.0,74.0,70.0,70.0
"Kitchener-Cambridge-Waterloo, Ontario",5 to 9 years,2.0,1.0,3.0,0.0,0.0,0.0,0.0
"Kitchener-Cambridge-Waterloo, Ontario",50 to 54 years,114.0,95.0,108.0,125.0,125.0,126.0,124.0
"Kitchener-Cambridge-Waterloo, Ontario",55 to 59 years,145.0,153.0,157.0,170.0,175.0,180.0,184.0
"Kitchener-Cambridge-Waterloo, Ontario",60 to 64 years,194.0,203.0,198.0,209.0,213.0,220.0,228.0
"Kitchener-Cambridge-Waterloo, Ontario",65 to 69 years,252.0,221.0,228.0,255.0,267.0,281.0,292.0
"Kitchener-Cambridge-Waterloo, Ontario",70 to 74 years,259.0,240.0,273.0,289.0,298.0,310.0,327.0
"Kitchener-Cambridge-Waterloo, Ontario",75 to 79 years,326.0,351.0,354.0,353.0,362.0,372.0,382.0
"Kitchener-Cambridge-Waterloo, Ontario",80 to 84 years,475.0,474.0,537.0,485.0,496.0,502.0,507.0
"Kitchener-Cambridge-Waterloo, Ontario",85 to 89 years,467.0,482.0,535.0,580.0,595.0,613.0,631.0
"Kitchener-Cambridge-Waterloo, Ontario",90 years and over,437.0,531.0,580.0,619.0,655.0,710.0,761.0
"Kitchener-Cambridge-Waterloo, Ontario",All ages,2889.0,2998.0,3192.0,3329.0,3434.0,3558.0,3682.0
"London, Ontario",0 to 4 years,28.0,39.0,23.0,33.0,34.0,35.0,36.0
"London, Ontario",10 to 14 years,2.0,2.0,5.0,3.0,3.0,3.0,3.0
"London, Ontario",15 to 19 years,9.0,9.0,7.0,13.0,12.0,12.0,12.0
"London, Ontario",20 to 24 years,13.0,13.0,22.0,24.0,24.0,25.0,25.0
"London, Ontario",25 to 29 years,11.0,14.0,21.0,31.0,30.0,32.0,33.0
"London, Ontario",30 to 34 years,19.0,26.0,32.0,19.0,19.0,19.0,19.0
"London, Ontario",35 to 39 years,21.0,26.0,23.0,26.0,26.0,27.0,27.0
"London, Ontario",40 to 44 years,65.0,51.0,51.0,38.0,38.0,40.0,38.0
"London, Ontario",45 to 49 years,68.0,81.0,87.0,75.0,74.0,70.0,70.0
"London, Ontario",5 to 9 years,4.0,0.0,0.0,3.0,3.0,3.0,3.0
"London, Ontario",50 to 54 years,126.0,111.0,138.0,144.0,145.0,148.0,145.0
"London, Ontario",55 to 59 years,149.0,183.0,185.0,193.0,202.0,204.0,210.0
"London, Ontario",60 to 64 years,216.0,196.0,238.0,226.0,231.0,237.0,245.0
"London, Ontario",65 to 69 years,260.0,271.0,281.0,311.0,329.0,346.0,363.0
"London, Ontario",70 to 74 years,326.0,343.0,362.0,348.0,360.0,373.0,391.0
"London, Ontario",75 to 79 years,405.0,427.0,423.0,466.0,478.0,490.0,503.0
"London, Ontario",80 to 84 years,590.0,619.0,586.0,588.0,596.0,605.0,613.0
"London, Ontario",85 to 89 years,621.0,648.0,626.0,662.0,678.0,699.0,720.0
"London, Ontario",90 years and over,540.0,571.0,598.0,743.0,804.0,857.0,913.0
"London, Ontario",All ages,3473.0,3630.0,3708.0,3946.0,4086.0,4225.0,4369.0
"Moncton, New Brunswick",0 to 4 years,9.0,8.0,7.0,7.0,6.0,6.0,6.0
"Moncton, New Brunswick",10 to 14 years,1.0,1.0,0.0,1.0,1.0,1.0,1.0
"Moncton, New Brunswick",15 to 19 years,4.0,3.0,4.0,2.0,2.0,2.0,2.0
"Moncton, New Brunswick",20 to 24 years,3.0,7.0,5.0,4.0,4.0,3.0,4.0
"Moncton, New Brunswick",25 to 29 years,8.0,8.0,2.0,6.0,6.0,6.0,6.0
"Moncton, New Brunswick",30 to 34 years,7.0,7.0,6.0,9.0,8.0,8.0,9.0
"Moncton, New Brunswick",35 to 39 years,6.0,7.0,15.0,8.0,8.0,8.0,8.0
"Moncton, New Brunswick",40 to 44 years,13.0,10.0,13.0,12.0,11.0,11.0,11.0
"Moncton, New Brunswick",45 to 49 years,29.0,19.0,24.0,20.0,18.0,18.0,17.0
"Moncton, New Brunswick",5 to 9 years,2.0,0.0,1.0,0.0,0.0,0.0,0.0
"Moncton, New Brunswick",50 to 54 years,26.0,29.0,27.0,42.0,42.0,42.0,42.0
"Moncton, New Brunswick",55 to 59 years,52.0,38.0,35.0,45.0,47.0,46.0,46.0
"Moncton, New Brunswick",60 to 64 years,63.0,56.0,54.0,68.0,68.0,68.0,69.0
"Moncton, New Brunswick",65 to 69 years,76.0,77.0,81.0,96.0,102.0,109.0,113.0
"Moncton, New Brunswick",70 to 74 years,77.0,84.0,99.0,102.0,105.0,108.0,115.0
"Moncton, New Brunswick",75 to 79 years,110.0,116.0,104.0,124.0,129.0,135.0,140.0
"Moncton, New Brunswick",80 to 84 years,148.0,133.0,134.0,148.0,151.0,153.0,156.0
"Moncton, New Brunswick",85 to 89 years,170.0,174.0,211.0,147.0,148.0,149.0,151.0
"Moncton, New Brunswick",90 years and over,195.0,183.0,195.0,204.0,215.0,223.0,232.0
"Moncton, New Brunswick",All ages,999.0,960.0,1017.0,1045.0,1071.0,1096.0,1128.0
